car 0.6549134640625 0.8233242305555556 0.29464642890625 0.17262005972222216
car 0.5678421765625 0.8168380097222223 0.13825722499999998 0.18110888055555546
car 0.54492058046875 0.8521357736111111 0.05405545625000006 0.10533883888888877
car 0.53036718828125 0.8595279722222222 0.028067257812500034 0.07207394166666667
car 0.5012604046875 0.8373513750000001 0.040541592187499996 0.04527721944444431
car 0.48150937109375 0.8253390513888889 0.025988200000000017 0.03788502083333343
car 0.46019904765625 0.8124027027777777 0.02598819921874993 0.03880904583333344
car 0.36435456718750003 0.8054417222222222 0.04210088437499997 0.029568797222222228
traffic sign 0.352205075 0.5709153875 0.057693805468750005 0.06652979166666668
traffic sign 0.28047764296875 0.6596217763888889 0.03638348046874999 0.05821357083333333
traffic sign 0.3750746921875 0.7384279222222222 0.019751033593750033 0.03880904444444455
traffic sign 0.315821596875 0.7421240222222222 0.02183008750000002 0.0388090444444444
traffic sign 0.25656849921874997 0.7319597472222222 0.015592920312500036 0.02310062222222216
traffic sign 0.2783985875 0.7532123208333333 0.006756932031249985 0.023100622222222315
traffic sign 0.29347174296875 0.7578324444444444 0.006756932031250029 0.02125256944444437
traffic sign 0.32101923671875 0.7837051416666666 0.007796460156249995 0.020328547222222288
traffic sign 0.09076378125 0.4338957027777778 0.017671975781249995 0.03141684583333336
traffic sign 0.42165854921875 0.7967404708333333 0.00623716796874998 0.010164270833333294
traffic light 0.44044803125 0.7734088402777778 0.005717403906250062 0.01663244722222225
traffic light 0.45656071484374994 0.7798770138888889 0.006237169531250064 0.015708423611111123
drivable area 0 0 0 0
