car 0.2770896515625 0.4771550277777778 0.06279601953124998 0.08976336666666664
car 0.82934757109375 0.5057401513888888 0.11623866406249998 0.12371600416666671
truck 0.55672202109375 0.46903321527777775 0.05429569140624997 0.09652567500000002
truck 0.0004248390625 0.4099933625 0.06117824374999999 0.19984893055555555
car 0.0502713125 0.5247733819444445 0.038236402343749996 0.06525679444444445
car 0.52103789921875 0.5288519333333334 0.024471296875000003 0.03126888055555557
car 0.498220325 0.5247733819444445 0.021412385156249946 0.02854984722222219
car 0.46763120234375 0.5234138638888889 0.01682401796874995 0.021752266666666662
traffic light 0.33533325 0.34667671805555555 0.009176735937499991 0.035347430555555566
traffic light 0.3276859703125 0.34667671805555555 0.009176735937499991 0.036706944444444486
traffic sign 0.2672724546875 0.36978849583333334 0.0412953140625 0.02854984722222219
traffic sign 0.14262178125 0.4663141694444444 0.03594221874999999 0.05709969444444446
traffic light 0.6228709968749999 0.3126888027777778 0.014529832812500042 0.04894259583333335
traffic light 0.63587137421875 0.3208459027777778 0.006882552343749992 0.03942598055555556
traffic sign 0.13344504453125 0.3099697708333333 0.024471297656250002 0.017673713888888897
traffic sign 0.14262178125 0.37794559722222226 0.030589121093750005 0.020392748611111088
traffic sign 0.67257831953125 0.3154078361111111 0.05888406093749996 0.03126888194444446
traffic sign 0.23776285703125 0.4306033180555555 0.01963900234375 0.013965512500000048
traffic sign 0.364761740625 0.4981032972222222 0.026185336718749987 0.016293098611111154
traffic sign 0.38047294296875 0.48413778472222224 0.013092668750000013 0.009310341666666647
traffic sign 0.35166907265625 0.4771550277777778 0.017020468750000007 0.011637927777777751
drivable area 0 0 0 0
