car 0.4720488921875 0.7398644194444444 0.1406757 0.23794983611111115
car 0.7288161859375 0.7252960625 0.1857465515625 0.22338147638888886
person 0.70423208359375 0.7270303777777778 0.03414458671874998 0.21366923611111113
car 0.6673559289062501 0.7731635069444445 0.043705069531250015 0.12868715833333336
car 0.39283345078125 0.7877318652777777 0.07921544140624999 0.04127701111111119
car 0.62774820859375 0.7731635069444445 0.06965495703125005 0.06070149305555551
car 0.59223783828125 0.780447686111111 0.025949885937500028 0.041277009722222306
traffic light 0.39556501796875 0.7520047166666667 0.010926270312500019 0.024280594444444463
traffic light 0.45839105859374996 0.6256100125 0.008194699218750046 0.04505778749999997
traffic light 0.61510375078125 0.6620028388888889 0.007798462500000003 0.0338096375
traffic light 0.72062148515625 0.735008298611111 0.01365783437500001 0.04127701250000008
traffic sign 0.7424740203125 0.656963525 0.021852535937499962 0.032767181944444466
traffic sign 0.8257868125 0.6666757625 0.028681453125000013 0.014568361111111096
traffic sign 0.70559786640625 0.6666757625 0.01502361875 0.014568361111111096
traffic sign 0.29808224296875 0.6798566625 0.021852535937500008 0.024280597222222235
traffic light 0.35817671640625004 0.6458638291666666 0.0054631335937499696 0.05098925000000002
traffic light 0.3663714171875 0.6482918888888889 0.010926270312499976 0.04856119027777781
traffic sign 0.30491116093750004 0.6021587583333333 0.016389401562499996 0.026708654166666672
traffic sign 0.30081381015624997 0.6337235319444444 0.01912097031250002 0.038848952777777786
traffic light 0.28169284140625 0.7381300916666667 0.027315669531249975 0.033992831944444406
traffic sign 0.46205891875000005 0.738254475 0.007798464062499999 0.019062909722222167
traffic sign 0.62192740546875 0.74345345 0.011697694531249959 0.02079590138888897
